28627 Vinícius Pereira O+ 111.0 RN (84)6501-3704
8908 Felipe Alves O- 80.1 PE (81)4911-2064
21018 Lucas Ferreira A+ 70.9 RJ (21)9572-3468
10569 Fábio Barros A+ 99.0 ES (27)4677-3590
15409 Leonardo Azevedo O+ 72.3 SP (16)9527-6642
7394 Lavinia Cavalcanti B+ 85.1 SP (11)6327-9386
2173 Davi Pereira A+ 81.6 MS (67)2711-4638
2450 Martim Araujo A+ 68.9 RJ (22)6525-8763
18413 Marina Cunha B+ 88.1 SP (15)2525-3979
15033 Mariana Barros O- 54.7 MG (31)2808-5712
15731 Gabriel Rodrigues O+ 78.8 DF (61)6835-7535
8316 Ryan Cunha AB+ 77.3 SP (11)7542-3892
15828 Eduarda Goncalves A+ 58.5 BA (71)8941-5084
12284 Rodrigo Barbosa O+ 82.4 MG (34)8451-4086
10056 Gustavo Barbosa A+ 89.5 SP (12)9647-5618
4486 Fernanda Pinto O+ 65.6 SC (47)3422-7435
9873 Larissa Lima O+ 69.6 RJ (24)9893-3648
25697 Kauã Cavalcanti B+ 91.0 GO (62)3160-9083
15163 Emilly Ferreira B+ 73.2 PA (91)7730-2652
7799 Martim Carvalho O+ 59.4 RJ (21)8998-4962
6239 Ryan Alves O+ 114.3 PR (44)5319-5098
652 Luiz Goncalves B+ 86.9 ES (27)4369-6046
26897 Ana Correia O+ 98.8 GO (62)7336-8314
10059 Guilherme Barbosa A+ 85.9 MG (34)9229-2888
16906 Isabela Carvalho B+ 66.5 MT (65)8807-8889
8568 André Lima O+ 74.5 SP (11)2739-3360
25616 Leila Barbosa O+ 78.7 MS (67)8755-7791
1912 Marcos Goncalves A+ 84.5 BA (71)9071-7604
18146 Giovana Melo O+ 80.7 MA (99)2750-2520
387 Alice Azevedo O+ 90.5 SP (11)7650-8670
25001 Fernanda Cunha A+ 72.2 PE (81)3487-3663
21370 Diogo Almeida O+ 63.6 MG (31)5638-2408
28305 Vitória Pereira O- 63.8 SP (11)8543-8124
21621 Tânia Ribeiro O+ 62.8 RS (51)9381-5265
14861 Marisa Azevedo O+ 51.8 SP (11)2065-2476
14975 Kaua Almeida B+ 67.7 DF (61)6057-8647
3362 Renan Araujo A+ 75.2 DF (61)4504-5203
29005 Luan Oliveira B+ 112.3 MG (35)5999-9927
12163 Bruna Martins A+ 76.0 PR (45)8338-3376
25680 Julian Barros B+ 113.7 ES (27)7368-5114
7875 Fábio Araujo O+ 75.2 SP (11)9698-8114
14377 Amanda Souza O+ 93.8 SP (11)3880-5569
21573 Gabriel Dias A+ 87.7 SP (11)4673-3817
4556 Sofia Ribeiro B+ 102.4 GO (62)7991-3468
24103 Otávio Almeida A+ 78.9 MG (31)2273-5728
3722 Carolina Lima O+ 99.9 RJ (21)4138-3264
20229 Eduardo Barbosa A+ 106.1 MG (31)3319-6948
29540 Rafael Ribeiro O+ 80.7 SP (13)5652-6470
2977 Fernanda Cavalcanti A+ 105.3 PR (42)7436-4945
15346 Martim Cunha AB+ 99.6 RJ (21)3692-7604
28688 Nicole Barbosa O+ 53.4 PR (46)4791-8927
28005 Beatrice Cardoso A+ 75.8 SP (11)9429-9177
23672 Fábio Ribeiro O+ 97.0 AM (92)8008-2477
6825 Murilo Alves O+ 76.6 PE (81)7397-7612
27106 Thaís Santos O- 87.7 RJ (21)6141-9325
28436 Gustavo Melo O+ 96.3 MG (34)3560-9314
6983 Fernanda Sousa O- 79.6 PA (91)6681-6573
21229 Vitor Ferreira B+ 107.7 PE (81)2881-3624
3998 Matheus Santos O+ 91.0 PB (83)5657-4408
11045 Vinícius Ribeiro A+ 64.6 PE (81)3485-7446
9335 Breno Cavalcanti A+ 80.2 RJ (21)7154-4900
23804 Kai Azevedo O+ 101.4 SP (11)2947-8085
15025 Larissa Pinto O+ 78.9 PE (81)7345-8371
24169 Leonardo Araujo B+ 60.1 MG (31)6618-8633
10115 Sophia Ferreira O+ 85.6 MG (31)7442-7898
11743 José Azevedo A+ 105.4 PR (41)6879-7783
12472 Enzo Santos O+ 73.3 SP (17)9990-2376
5729 José Araujo B+ 71.8 AM (92)8693-2379
9637 Sofia Barbosa O+ 50.6 BA (71)6719-8528
9221 Eduardo Ferreira O+ 93.3 SP (11)4335-5809
18307 Sarah Santos A- 98.2 PR (41)3282-8656
5889 Vinícius Dias AB+ 62.9 RJ (21)2300-5527
24925 Eduarda Dias A+ 67.7 PE (81)4859-8568
16481 Livia Correia A+ 50.7 SP (11)9899-7076
842 Danilo Carvalho A+ 89.9 SC (47)4445-8519
9474 Emily Costa O+ 78.1 BA (77)7778-8564
8854 Tânia Carvalho O- 74.2 RJ (21)9461-5788
22883 Luiz Barbosa O+ 80.3 CE (85)6091-7299
29160 Guilherme Alves A+ 86.7 MG (31)7949-9245
15529 Amanda Alves O+ 53.6 SP (11)9239-8247
18876 Renan Goncalves B- 78.8 SP (14)8995-5732
9774 Luiz Rodrigues O+ 75.5 MG (35)8095-5474
25511 Ryan Correia AB+ 72.4 SP (11)2939-5888
11174 Kauê Carvalho B+ 72.1 PA (91)8595-6756
15724 Yasmin Cavalcanti O+ 79.5 SP (15)7041-8029
26835 Tânia Araujo O+ 85.9 GO (62)3343-5311
29608 Danilo Souza B+ 73.6 PR (43)4025-7433
22187 Ágatha Costa A+ 47.6 SP (19)6836-8069
10512 Julian Araujo A+ 64.1 RJ (21)8454-2627
21058 Ágatha Castro O+ 83.8 MG (34)4115-6632
15299 Ágatha Ribeiro B+ 85.0 BA (71)4360-7324
25130 Lavinia Cavalcanti A+ 76.3 MG (31)2612-6885
16923 Julian Cardoso B+ 64.8 RS (51)9691-3513
8092 Matilde Rocha O+ 69.6 PE (81)8444-9095
25230 Enzo Ribeiro O- 88.8 GO (62)7787-2216
21854 Sarah Santos B+ 90.7 AM (92)9172-7027
18927 José Cunha AB+ 101.4 RJ (21)7352-2273
3665 Bruno Correia O+ 79.8 MG (35)7385-8372
25650 Aline Pinto A+ 101.7 MG (31)4087-7366
19557 Carla Alves A+ 98.9 SP (16)9815-5014
13347 Pedro Santos B+ 79.2 SP (11)5656-9971
22201 Paulo Rocha A+ 114.8 SP (18)9654-5702
11922 André Pinto A+ 71.0 MG (31)2615-4524
12165 Igor Rodrigues O- 99.4 DF (61)6261-5090
18039 Marisa Barros A+ 85.0 SP (16)8497-6843
18823 Isabella Almeida O+ 59.8 SP (19)5281-9841
18340 Marina Gomes A+ 77.4 SP (16)7029-7808
26496 Matheus Ferreira O- 94.4 SP (19)7101-7540
4786 Marina Pinto B+ 64.5 BA (75)3158-3941
